model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2013,102000,Gasoline,Automatic,No,Yes,12,0.06376201921936318
2022,16113,Diesel,Automatic,No,Yes,3,-0.2742818389664605
1995,49900,Others,Manual,Yes,Yes,30,0.00803409414506754
2019,77690,Gasoline,Automatic,No,Yes,6,0.14735948983786054
1998,165000,Gasoline,Automatic,No,Yes,27,0.08289855956403239
2008,73000,Gasoline,Automatic,Yes,Yes,17,0.07546828090342844
2013,43903,Gasoline,Automatic,Yes,Yes,12,0.07390035391813712
2018,74381,Gasoline,Automatic,Yes,Yes,7,0.13385851315871397
2021,23292,Gasoline,Automatic,No,Yes,4,0.05494638463565307
2010,162671,E85 Flex Fuel,Automatic,No,Yes,15,0.12437786778240661
2019,46000,Hybrid,Automatic,No,Yes,6,0.07708144250683709
2021,18385,Gasoline,Automatic,No,Yes,4,0.0384949385662311
2007,45000,Gasoline,Manual,No,Yes,18,0.08155667608877276
2007,90000,Gasoline,Manual,Yes,Yes,18,0.08157310438263679
2017,14586,Gasoline,Automatic,No,No,8,0.02735856616317809
2022,16700,Gasoline,Automatic,No,Yes,3,0.035618723600461887
2021,62377,Gasoline,Automatic,No,Yes,4,0.12012140696343244
2022,7250,Gasoline,Manual,No,Yes,3,0.06706374060596518
2014,59459,Diesel,Automatic,Yes,Yes,11,0.02459751910050646
2016,35943,Gasoline,Automatic,No,Yes,9,0.11492821972995158
2014,121500,Gasoline,Automatic,No,Yes,11,0.08497352146469761
2022,100,Diesel,Automatic,No,Yes,3,0.050671932345189026
2020,37000,Gasoline,Automatic,Yes,Yes,5,0.09699322612705007
2022,9728,Electric,Automatic,No,Yes,3,0.021634541006364322
2016,146200,Gasoline,Automatic,No,Yes,9,0.16555163040874146
2020,39000,Electric,Automatic,No,Yes,5,0.10826194293240694
2017,55000,Gasoline,Automatic,No,Yes,8,0.09753023592635988
2018,84054,Gasoline,CVT,No,Yes,7,0.06421305927632932
2003,16100,Gasoline,Manual,No,Yes,22,0.02270349834514738
2019,77000,Gasoline,CVT,Yes,Yes,6,0.108256860995856
2019,20500,Gasoline,Automatic,No,Yes,6,0.05436408947257843
2022,500,Electric,Automatic,No,Yes,3,0.15663156361676345
2016,139200,Diesel,Automatic,Yes,Yes,9,0.09989878697067786
2015,93400,E85 Flex Fuel,Automatic,No,Yes,10,0.10329961736132509
2020,57300,Gasoline,Automatic,No,Yes,5,0.050357371635070425
1996,170552,Gasoline,Automatic,Yes,Yes,29,0.05902758935916629
2014,89500,Gasoline,Dual Shift,No,Yes,11,0.13277034175401292
2021,27000,Hybrid,Automatic,No,Yes,4,0.03829183484090085
